BedLoc,block,Genotype,pop.mf,parent.pop,mf,rep,height.cm,long.leaf.cm,Site,Garden_Lat,Garden_Long,Garden_Elev,elevation.group,elev_m,Lat,Long,GrwSsn_GD_Recent,GrwSsn_GD_Historical,Wtr_Year_GD_Recent,Wtr_Year_GD_Historical,Geographic_Dist,Elev_Dist
A_33_C,B,SQ1_14_10,SQ1_14,SQ1,14,10,NA,NA,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
B_38_B,C,SQ1_14_2,SQ1_14,SQ1,14,2,1.8,1.7,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
C_36_A,E,SQ1_14_7,SQ1_14,SQ1,14,7,1.5,NA,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
D_44_B,F,SQ1_14_6,SQ1_14,SQ1,14,6,NA,NA,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
D_33_C,G,SQ1_14_9,SQ1_14,SQ1,14,9,NA,NA,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
E_14_B,H,SQ1_14_8,SQ1_14,SQ1,14,8,NA,NA,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
E_20_B,H,SQ1_14_5,SQ1_14,SQ1,14,5,2,0.1,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
G_14_D,J,SQ1_14_1,SQ1_14,SQ1,14,1,2.2,2.9,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
H_28_D,K,SQ1_14_11,SQ1_14,SQ1,14,11,4.3,4,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
J_10_C,M,SQ1_14_3,SQ1_14,SQ1,14,3,2.7,3.5,WL2,38.82599,-120.2509,2020,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994
F1_3_D,F1,SQ1_2_8,SQ1_2,SQ1,2,8,2.5,1.4,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
H1_12_C,H1,SQ1_2_5,SQ1_2,SQ1,2,5,2,3.2,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
J1_7_B,J1,SQ1_2_3,SQ1_2,SQ1,2,3,2,3,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
