month,growmonth,parent.pop,elevation.group,elev_m,PckSum,year,cwd,pck,ppt,tmn,tmx,AvgFirstMonth,AvgLastMonth
9,NA,YO4,High,2157.57391,1776.3496654828389,1975,78.089996337890625,0,8.819999694824219,9.010000228881836,22.06999969482422,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1975,57.86000061035156,0,183.4499969482422,1.340000033378601,13.369999885559082,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1975,34.970001220703125,0,49.619998931884766,-2.549999952316284,9.1899995803833,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1975,28.63999938964844,0,20.56999969482422,-2.7799999713897705,9.380000114440918,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1976,84.910003662109375,0,2.1500000953674316,4.550000190734863,19.049999237060547,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1976,80,0,10.130000114440918,9.56999969482422,23.59000015258789,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1976,65.95999908447266,0,47.41999816894531,6.989999771118164,20.170000076293945,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1976,67.54000091552734,0,45.83000183105469,7.150000095367432,19.010000228881836,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1976,64.58000183105469,0,22.719999313354492,2.109999895095825,15.510000228881836,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1976,40.790000915527344,0,31.780000686645508,0.959999978542328,13.859999656677246,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1976,29.56999969482422,0,10.06999969482422,-2.6600000858306885,10.06999969482422,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1977,65.62999725341797,0,39.959999084472656,7.710000038146973,21.11000061035156,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1977,93.36000061035156,0,0,10.010000228881836,24.809999465942383,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1977,88.76000213623047,0,0,10.5,25,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1977,80.81999969482422,0,12.029999732971191,6.489999771118164,19.530000686645508,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1977,69.30000305175781,0,11.260000228881836,4.190000057220459,17.209999084472656,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1977,39.2400016784668,0,124.08999633789062,-0.6000000238418579,11.550000190734863,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1977,27.11000061035156,138.72999572753906,318.5199890136719,-2.4800000190734863,7.760000228881836,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1978,84.62000274658203,0,7.980000019073486,5.210000038146973,19.329999923706055,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1978,87.75,0,2.240000009536743,9.760000228881836,23.8799991607666,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1978,79.91999816894531,0,4.010000228881836,9.399999618530272,23.3799991607666,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1978,59.66999816894531,0,120.5500030517578,4.599999904632568,17.700000762939453,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1978,67.18000030517578,0,0.3400000035762787,4.820000171661377,18.510000228881836,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1978,32.790000915527344,21.15999984741211,103.01000213623048,-3.759999990463257,6.610000133514404,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1978,23.84000015258789,108.16000366210938,104.3499984741211,-7.059999942779541,4.320000171661377,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1979,86.79000091552734,0,0,5.690000057220459,21.059999465942383,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1979,89.80999755859375,0,7.920000076293945,8.779999732971191,23.36000061035156,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1979,81.79000091552734,0,0.12999999523162842,8.529999732971191,21.670000076293945,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1979,82.660003662109375,0,0.07000000029802322,8.010000228881836,23.100000381469727,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1979,65.089996337890625,0,84.13999938964844,3.559999942779541,15.010000228881836,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1979,34.66999816894531,0,113.0500030517578,-2.609999895095825,8.149999618530273,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1979,28.440000534057617,40.93000030517578,162.3000030517578,-2.2799999713897705,8.359999656677246,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1980,80.7300033569336,0,4.039999961853027,3.9200000762939458,16.68000030517578,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1980,61.41999816894531,0,11.8100004196167,10.270000457763672,23.799999237060547,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1980,80.220001220703125,0,0.7400000095367432,9.25,22.559999465942383,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1980,76.16999816894531,0,4.059999942779541,6.5,20.149999618530273,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1980,67.05000305175781,0,23.229999542236328,4.050000190734863,16.459999084472656,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1980,38.88999938964844,0,30.59000015258789,-0.3100000023841858,11.979999542236328,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1980,29.950000762939453,0,91.43000030517578,-2.0299999713897705,10.220000267028809,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1981,91.94000244140624,0,0,8.170000076293945,22.88999938964844,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1981,95.26000213623048,0,0.9100000262260436,10.380000114440918,25.350000381469727,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1981,91.4800033569336,0,1.2799999713897705,11.18000030517578,25.93000030517578,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1981,84.5999984741211,0,12.779999732971191,7.869999885559082,21.15999984741211,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1981,60.40999984741211,0,138.36000061035156,1.2799999713897705,12.539999961853027,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1981,34.4900016784668,7.019999980926514,241,-0.9700000286102296,8.9399995803833,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1981,26.6200008392334,89.339996337890625,211.2400054931641,-2.25,7.360000133514404,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1982,59.04999923706055,0,66.5199966430664,4.690000057220459,17.270000457763672,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1982,85.54000091552734,0,2.4600000381469727,9.020000457763672,22.010000228881836,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1982,59.20000076293945,0,9.210000038146973,10.020000457763672,23.040000915527344,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1982,61.650001525878906,0,106.4000015258789,5.96999979019165,17.469999313354492,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1982,55.849998474121094,0,174.9199981689453,1.850000023841858,12.100000381469728,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1982,30.770000457763672,135.41000366210938,262.239990234375,-3.4600000381469727,6.170000076293945,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1982,23.739999771118164,355.17999267578125,256.6099853515625,-5.070000171661377,4.269999980926514,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1983,82.51000213623047,0,11.479999542236328,4.320000171661377,18.030000686645508,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1983,82.220001220703125,0,0,6.510000228881836,20.729999542236328,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1983,57.61000061035156,0,24.899999618530273,8.979999542236328,21.329999923706055,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1983,63.25,0,68.12999725341797,7.579999923706055,20.219999313354492,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1983,64.37000274658203,0,34.7599983215332,4.050000190734863,15.039999961853027,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1983,31.86000061035156,202.82000732421875,394.6300048828125,-2.1700000762939453,6.070000171661377,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1983,24.420000076293945,537.77001953125,395.9800109863281,-3.5299999713897705,4.119999885559082,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1984,60.15999984741211,0,32.9900016784668,5.230000019073486,18.290000915527344,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1984,66.16999816894531,0,13.109999656677246,11.359999656677246,24.61000061035156,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1984,87.12999725341797,0,2.3299999237060547,10.890000343322754,24.329999923706055,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1984,83.56999969482422,0,7.309999942779541,8.84000015258789,22.020000457763672,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1984,58.060001373291016,0,93.529998779296875,0.5899999737739563,10.960000038146973,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1984,31.670000076293945,142.25,266.19000244140625,-3.109999895095825,5.820000171661377,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1984,23.61000061035156,182.1000061035156,47.290000915527344,-6.460000038146973,3.1600000858306885,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1985,90.8000030517578,0,7.21999979019165,8.380000114440918,22.700000762939453,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1985,67.37999725341797,0,20.799999237060547,11.880000114440918,24.93000030517578,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1985,85.12000274658203,0,2.0299999713897705,9.229999542236328,23.469999313354492,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1985,64.7300033569336,0,52.97999954223633,5.03000020980835,15.65999984741211,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1985,59.77000045776367,0,74.41999816894531,2.0799999237060547,13.81999969482422,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1985,31.600000381469727,79.19999694824219,187.07000732421875,-3.25,6.199999809265137,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1985,27.770000457763672,121.69000244140624,139.22999572753906,-2.809999942779541,7.730000019073486,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1986,88.44999694824219,0,0,7.28000020980835,21.260000228881836,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1986,64.37000274658203,0,17.610000610351562,8.380000114440918,22.850000381469727,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1986,88.23999786376953,0,1.190000057220459,10.81999969482422,25.280000686645508,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1986,63.59000015258789,0,72.06999969482422,3.180000066757202,15.239999771118164,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1986,62.83000183105469,0,4.96999979019165,2.1500000953674316,13.90999984741211,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1986,37.59000015258789,0,5.679999828338623,-1.309999942779541,10.81999969482422,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1986,27.739999771118164,0,28.309999465942383,-3.7200000286102295,7.320000171661377,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1987,89.720001220703125,0,4.840000152587891,7.630000114440918,22.200000762939453,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1987,87.910003662109375,0,0.05999999865889549,8.050000190734863,21.989999771118164,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1987,86.5,0,0,10.130000114440918,25.170000076293945,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1987,82.75,0,5.059999942779541,8.079999923706055,22.290000915527344,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1987,68.720001220703125,0,84.36000061035156,5.389999866485596,17.440000534057617,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1987,35.369998931884766,0,83.4800033569336,-1.8799999952316284,8.0600004196167,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1987,23.25,122.58999633789062,129.9600067138672,-6.650000095367432,2.559999942779541,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1988,85.8499984741211,0,10.130000114440918,5.929999828338623,19.3799991607666,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1988,68.87999725341797,0,13.800000190734863,11.399999618530272,27.020000457763672,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1988,88.33000183105469,0,0.9399999976158142,10.789999961853027,24.040000915527344,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1988,84.5,0,8.829999923706055,7.190000057220459,23.079999923706055,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1988,72.98999786376953,0,0.47999998927116394,5.920000076293945,19.63999938964844,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1988,34.79999923706055,31.510000228881836,180.10000610351562,-2.369999885559082,7.579999923706055,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1988,24.88999938964844,136.1199951171875,137.8300018310547,-6.46999979019165,5.460000038146973,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1989,70.45999908447266,0,22.11000061035156,6.610000133514404,19.719999313354492,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1989,93.5199966430664,0,0,10.850000381469728,25.1299991607666,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1989,65.4000015258789,0,7.820000171661377,8.539999961853027,21.969999313354492,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1989,70.86000061035156,0,88.55000305175781,6.639999866485596,19.239999771118164,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1989,58.349998474121094,0,124.27999877929688,1.7799999713897705,13.229999542236328,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1989,37.77000045776367,0,76.93000030517578,-0.6899999976158142,11.720000267028809,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1989,29.170000076293945,0,0.09000000357627869,-2.809999942779541,10.510000228881836,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1990,85.19000244140625,0,9.56999969482422,6.099999904632568,18.88999938964844,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1990,65.73999786376953,0,14.279999732971191,10.8100004196167,23.86000061035156,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1990,66.410003662109375,0,4.789999961853027,9.609999656677246,22.799999237060547,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1990,82.55999755859375,0,14.970000267028809,7.639999866485596,20.040000915527344,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1990,70.19999694824219,0,5.960000038146973,3.4600000381469727,18.940000534057617,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1990,37.869998931884766,0,47.97999954223633,-1.7599999904632568,10.289999961853027,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1990,25.440000534057617,25.280000686645508,41.900001525878906,-7.03000020980835,6.039999961853027,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1991,68.160003662109375,0,16.700000762939453,5,18.559999465942383,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1991,91.8499984741211,0,2.630000114440918,10.65999984741211,25.8799991607666,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1991,83.29000091552734,0,0.9900000095367432,9.720000267028809,24.280000686645508,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1991,83.20999908447266,0,7.179999828338623,9.520000457763672,24.09000015258789,5,12
