parent.pop,elevation.group,elev_m,Lat,Long,year,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,tmean_wettest_quarter,tmean_driest_quarter,ann_ppt,ppt_seasonality,ppt_warmest_quarter,ppt_coldest_quarter
CP2,High,2244.132886,38.66169,-120.13065,2007,7.755,12.328333333333333,687.3322605288046,32.47,0.018333333333333385,12.313333333333334,863.4100000000001,112.221205799939,58.1,480.74
CP2,High,2244.132886,38.66169,-120.13065,2008,7.4366666666666665,12.61,750.3272114500608,32.42,-1.3383333333333332,12.383333333333333,832.2399999999999,134.76993432955737,15.520000000000001,640.74
CP2,High,2244.132886,38.66169,-120.13065,2009,7.5633333333333335,12.345,688.8246027352199,30.810000000000002,0.4166666666666666,12.293333333333331,1220.1399999999999,79.35323647453654,67.82000000000001,513.67
CP2,High,2244.132886,38.66169,-120.13065,2010,6.5875,11.895,668.2995891881806,30.669999999999998,0.09833333333333345,10.25,1282.6999999999998,83.40465806457998,200.61999999999998,537.65
CP2,High,2244.132886,38.66169,-120.13065,2011,6.4075,11.695,691.3435700273648,31.560000000000002,2.045,11.780000000000001,1721.7400000000002,99.1131355589735,107.01,687.3400000000001
CP2,High,2244.132886,38.66169,-120.13065,2012,7.958333333333334,12.36,690.7019595814804,31.35,4.221666666666667,6.668333333333333,774.7599999999999,117.62243608576193,150.87,216.68
CP2,High,2244.132886,38.66169,-120.13065,2013,7.4591666666666665,12.233333333333334,692.7685509255708,32.27,6.623333333333332,5.941666666666666,943.9800000000001,139.21806632779018,128.14,461.05
CP2,High,2244.132886,38.66169,-120.13065,2014,8.585833333333333,12.433333333333334,621.794427931017,30.990000000000002,2.2783333333333338,8.098333333333334,819.2199999999999,108.54684931848657,105.21999999999998,386.77000000000004
CP2,High,2244.132886,38.66169,-120.13065,2015,8.84625,11.895833333333334,575.133270128838,27.540000000000003,7.721666666666668,11.625,842.9499999999999,97.71420297925965,97.2,409.40000000000003
CP2,High,2244.132886,38.66169,-120.13065,2016,7.458749999999999,11.8275,700.8861639187403,31.65,0.3316666666666665,12.515,1516.49,98.57243321055334,107.67999999999999,625.6099999999999
CP2,High,2244.132886,38.66169,-120.13065,2017,7.4070833333333335,11.700833333333334,710.5436285732641,32.03,-0.8450000000000001,7.525000000000001,2128.8897999999995,129.83180970155394,169.88,1492.7298
CP2,High,2244.132886,38.66169,-120.13065,2018,8.270416666666666,12.080833333333334,691.8939244215945,32.32,4.315,7.165,1077.74,144.35910258096075,114.59,195.82
CP2,High,2244.132886,38.66169,-120.13065,2019,6.660416666666666,11.704166666666666,688.5868090230933,33.19,-1.1,11.903333333333334,1546.1499999999999,115.83355576313859,98.69,853.0699999999999
CP2,High,2244.132886,38.66169,-120.13065,2020,8.387916666666667,11.995833333333334,712.7463675598053,30.78,7.906666666666667,11.798333333333332,857.38,130.07219767791932,117.61,369.28
CP2,High,2244.132886,38.66169,-120.13065,2021,7.924166666666666,11.693333333333333,735.5468847714397,31.2,6.418333333333333,12.783333333333333,971.5100000000001,117.68234506418071,34.86,366.93
CP2,High,2244.132886,38.66169,-120.13065,2022,8.278333333333332,11.063333333333334,664.5291680216264,28.77,7.441666666666666,10.843333333333334,858.37,176.23594825768046,226.46,490.71000000000004
CP2,High,2244.132886,38.66169,-120.13065,2023,5.7125,10.629999999999999,757.172686560158,32.22,-1.905,8.120000000000001,2353.9897000000005,119.60783879839751,113.72999999999999,1376.8598
CP3,High,2266.382201,38.70649,-120.08797,1896,5.098750000000001,11.545833333333334,619.576472827865,28.770000000000003,-0.21333333333333324,6.383333333333333,1509.37,117.2309704068324,243.73000000000002,633.19
CP3,High,2266.382201,38.70649,-120.08797,1897,5.13875,11.130833333333333,674.8948781780086,30.86,-1.295,10.145000000000001,1418.1,101.6616848386224,66.76,623.3499999999999
CP3,High,2266.382201,38.70649,-120.08797,1898,5.395416666666667,12.275833333333333,669.3654205946694,31.9,-1.9083333333333332,10.9,787.86,80.32132547442336,59.620000000000005,355.78999999999996
CP3,High,2266.382201,38.70649,-120.08797,1899,4.69875,12.464166666666667,603.6084720247057,29.79,1.2116666666666667,9.283333333333333,1297.9299999999998,110.65144867355647,106.35,325.2
CP3,High,2266.382201,38.70649,-120.08797,1900,5.431666666666667,12.253333333333334,524.9808798827098,29.31,4.661666666666666,9.26,1317.8600000000001,85.62617160508916,166.61,458.46000000000004
CP3,High,2266.382201,38.70649,-120.08797,1901,5.798333333333334,12.588333333333333,598.7417615046548,30.12,-0.89,9.1033333333333335,1419.06,83.81853968779664,324.70000000000005,633.27
CP3,High,2266.382201,38.70649,-120.08797,1902,5.54,13.055,603.3205088206735,28.87,-0.3866666666666667,8.098333333333334,1218.01,107.39817479050538,134.32,549.4200000000001
CP3,High,2266.382201,38.70649,-120.08797,1903,4.689583333333333,13.320833333333333,660.8982681421803,34.76,-2.2566666666666664,8.528333333333334,1156.72,120.05806153098231,41.940000000000005,540.03
CP3,High,2266.382201,38.70649,-120.08797,1904,5.312916666666666,11.9825,612.0029507628408,28.71,2.8649999999999998,7.976666666666667,2076.8,102.50279331501513,308.05999999999995,682.12
CP3,High,2266.382201,38.70649,-120.08797,1905,6.542083333333333,13.389166666666666,561.9626103032015,29.69,0.7733333333333334,7.758333333333333,905.6300000000001,94.84614352564448,100.44999999999999,408.36
CP3,High,2266.382201,38.70649,-120.08797,1906,5.440833333333334,12.998333333333333,558.6967315805488,30.77,3.4916666666666667,7.45,1826.6999999999998,107.60361156415014,178.48000000000002,769.89
CP3,High,2266.382201,38.70649,-120.08797,1907,4.812916666666666,12.4525,568.4000455158534,29.42,-0.3833333333333333,8.913333333333334,2026.9999,112.94438452932116,79.46000000000001,885.4200000000001
