rowid,parent.pop,phylogroup,Lat,Long,elev_m,year,month,aet,cwd,pck,pet,ppt,tmn,tmx
1,BH,4,37.40985,-119.96458,511.4294422,1909,jan,6.69,28.81,0,35.5,362.43,4.75,12.88
1,BH,4,37.40985,-119.96458,511.4294422,1909,jul,57.64,144.36,0,202,0,15.54,34.13
1,BH,4,37.40985,-119.96458,511.4294422,1909,jun,146.43,38.47,0,184.9,11.98,11.47,30.58
1,BH,4,37.40985,-119.96458,511.4294422,1909,mar,31.53,46.97,0,78.5,76.57,2.64,14.31
1,BH,4,37.40985,-119.96458,511.4294422,1909,may,87.25,71.35,0,158.6,0,6.36,25.09
1,BH,4,37.40985,-119.96458,511.4294422,1909,nov,3.82,42.18,0,46,108.39,4.1,16.38
1,BH,4,37.40985,-119.96458,511.4294422,1909,oct,0.17,86.43,0,86.6,37.77,7.58,23.14
1,BH,4,37.40985,-119.96458,511.4294422,1909,sep,1,130.4,0,131.4,0,12.38,30.19
1,BH,4,37.40985,-119.96458,511.4294422,1910,apr,49.72,74.58,0,124.3,20.63,7.5,22.73
1,BH,4,37.40985,-119.96458,511.4294422,1910,aug,5.29,173.01,0,178.3,0,14.68,35.48
1,BH,4,37.40985,-119.96458,511.4294422,1910,dec,2.27,31.13,0,33.4,25.45,2.34,14.95
1,BH,4,37.40985,-119.96458,511.4294422,1910,feb,6.13,39.97,0,46.1,37.94,1.46,13.31
1,BH,4,37.40985,-119.96458,511.4294422,1910,jan,7.64,24.66,0,32.3,110.2,0.49,10.59
1,BH,4,37.40985,-119.96458,511.4294422,1910,jul,129.48,76.62,0,206.1,3.85,17.13,35.42
1,BH,4,37.40985,-119.96458,511.4294422,1910,jun,89,96.4,0,185.4,0,12.25,30.15
1,BH,4,37.40985,-119.96458,511.4294422,1910,mar,25.94,60.26,0,86.2,72.13,5.66,18.79
1,BH,4,37.40985,-119.96458,511.4294422,1910,may,93.16,75.54,0,168.7,0.76,10.14,27.88
1,BH,4,37.40985,-119.96458,511.4294422,1910,nov,2.61,44.59,0,47.2,24.94,4.4,18.12
1,BH,4,37.40985,-119.96458,511.4294422,1910,oct,2.93,85.87,0,88.8,30.14,8.57,24.66
1,BH,4,37.40985,-119.96458,511.4294422,1910,sep,0.44,128.56,0,129,17.46,10.65,29.72
1,BH,4,37.40985,-119.96458,511.4294422,1911,apr,78.2,39.1,0,117.3,47.74,5.39,19.51
1,BH,4,37.40985,-119.96458,511.4294422,1911,aug,38.88,134.02,0,172.9,0,13.01,32.87
1,BH,4,37.40985,-119.96458,511.4294422,1911,dec,1.68,29.02,0,30.7,35.08,-1.18,12.53
1,BH,4,37.40985,-119.96458,511.4294422,1911,feb,7.33,36.67,0,44,80.9,0.24,11.41
1,BH,4,37.40985,-119.96458,511.4294422,1911,jan,6.3,28.4,0,34.7,382.89,2.47,13.47
1,BH,4,37.40985,-119.96458,511.4294422,1911,jul,80.11,125.49,0,205.6,0,16.5,35.75
1,BH,4,37.40985,-119.96458,511.4294422,1911,jun,90.11,95.99,0,186.1,0.53,12.49,30.35
1,BH,4,37.40985,-119.96458,511.4294422,1911,mar,42.38,42.12,0,84.5,205.86,5.52,17.3
1,BH,4,37.40985,-119.96458,511.4294422,1911,may,85.57,69.43,0,155,9.36,6.23,22.98
1,BH,4,37.40985,-119.96458,511.4294422,1911,nov,1.5,44.6,0,46.1,29.41,2.08,18.56
1,BH,4,37.40985,-119.96458,511.4294422,1911,oct,2.35,83.95,0,86.3,4.77,6.55,23.79
1,BH,4,37.40985,-119.96458,511.4294422,1911,sep,9.73,114.57,0,124.3,3.32,9.06,27.06
1,BH,4,37.40985,-119.96458,511.4294422,1912,apr,70.21,41.09,0,111.3,68.45,3.71,16.8
1,BH,4,37.40985,-119.96458,511.4294422,1912,aug,0,171.1,0,171.1,0,12.31,32.21
1,BH,4,37.40985,-119.96458,511.4294422,1912,dec,0.87,30.43,0,31.3,18.99,-0.99,13.73
1,BH,4,37.40985,-119.96458,511.4294422,1912,feb,5.31,43.29,0,48.6,1.32,1.83,16.81
1,BH,4,37.40985,-119.96458,511.4294422,1912,jan,3.43,31.27,0,34.7,57.43,1.83,14.01
1,BH,4,37.40985,-119.96458,511.4294422,1912,jul,20.61,177.59,0,198.2,0.21,14.4,32.61
1,BH,4,37.40985,-119.96458,511.4294422,1912,jun,61.62,121.58,0,183.2,3.85,11.04,29.86
1,BH,4,37.40985,-119.96458,511.4294422,1912,mar,22.29,56.11,0,78.4,111.47,2.86,14.01
1,BH,4,37.40985,-119.96458,511.4294422,1912,may,138.8,20.2,0,159,21.37,7.2,24.5
1,BH,4,37.40985,-119.96458,511.4294422,1912,nov,0,46.7,0,46.7,31.74,3.05,18.7
1,BH,4,37.40985,-119.96458,511.4294422,1912,oct,0,84.3,0,84.3,7.59,5.49,22.57
1,BH,4,37.40985,-119.96458,511.4294422,1912,sep,0,128.1,0,128.1,13.99,10.81,28.66
1,BH,4,37.40985,-119.96458,511.4294422,1913,apr,43.46,74.44,0,117.9,30.38,4.82,20.48
1,BH,4,37.40985,-119.96458,511.4294422,1913,aug,3.53,175.67,0,179.2,0.04,16.13,34.72
1,BH,4,37.40985,-119.96458,511.4294422,1913,dec,3.9,27.7,0,31.6,107.64,1.09,12.35
1,BH,4,37.40985,-119.96458,511.4294422,1913,feb,5.14,41.56,0,46.7,33.14,1.14,14.53
1,BH,4,37.40985,-119.96458,511.4294422,1913,jan,1.82,30.38,0,32.2,98.63,-0.36,11.2
1,BH,4,37.40985,-119.96458,511.4294422,1913,jul,0,200.5,0,200.5,8.41,14.78,33.79
1,BH,4,37.40985,-119.96458,511.4294422,1913,jun,99.43,80.07,0,179.5,12.62,10.73,27.78
1,BH,4,37.40985,-119.96458,511.4294422,1913,mar,21.15,59.15,0,80.3,56.74,2.26,16.4
1,BH,4,37.40985,-119.96458,511.4294422,1913,may,98.95,63.45,0,162.4,25.21,7.97,25.88
1,BH,4,37.40985,-119.96458,511.4294422,1913,nov,0.02,46.68,0,46.7,92.02,5.09,16.59
1,BH,4,37.40985,-119.96458,511.4294422,1913,oct,0.03,88.57,0,88.6,0,6.75,26.21
1,BH,4,37.40985,-119.96458,511.4294422,1913,sep,0.17,133.03,0,133.2,0,12.33,31.96
1,BH,4,37.40985,-119.96458,511.4294422,1914,apr,47.4,71.2,0,118.6,43.37,6.14,19.72
1,BH,4,37.40985,-119.96458,511.4294422,1914,aug,30.92,145.68,0,176.6,0,14.5,34.26
1,BH,4,37.40985,-119.96458,511.4294422,1914,dec,1.53,29.07,0,30.6,95.64,0.04,11.23
1,BH,4,37.40985,-119.96458,511.4294422,1914,feb,8.86,39.14,0,48,89.7,2.62,15.1
1,BH,4,37.40985,-119.96458,511.4294422,1914,jan,8.25,26.55,0,34.8,328.27,3.22,12.83
1,BH,4,37.40985,-119.96458,511.4294422,1914,jul,72.4,127.8,0,200.2,0,13.79,34.57
1,BH,4,37.40985,-119.96458,511.4294422,1914,jun,148.02,34.18,0,182.2,16.17,10.85,29.38
1,BH,4,37.40985,-119.96458,511.4294422,1914,mar,26.03,60.47,0,86.5,19.04,4.57,20.24
1,BH,4,37.40985,-119.96458,511.4294422,1914,may,90.76,73.14,0,163.9,9.05,9.2,25.63
1,BH,4,37.40985,-119.96458,511.4294422,1914,nov,2.48,45.42,0,47.9,4.12,3.01,20.84
1,BH,4,37.40985,-119.96458,511.4294422,1914,oct,1.85,86.15,0,88,27.57,8.06,24.19
1,BH,4,37.40985,-119.96458,511.4294422,1914,sep,5.76,122.54,0,128.3,6.78,10.39,29.28
1,BH,4,37.40985,-119.96458,511.4294422,1915,apr,47.28,70.92,0,118.2,35.87,6.53,19
1,BH,4,37.40985,-119.96458,511.4294422,1915,aug,51.15,126.45,0,177.6,0,14.24,35.34
1,BH,4,37.40985,-119.96458,511.4294422,1915,dec,1.78,30.82,0,32.6,100.2,1.36,14.19
1,BH,4,37.40985,-119.96458,511.4294422,1915,feb,10.11,36.49,0,46.6,176.51,3,12.59
1,BH,4,37.40985,-119.96458,511.4294422,1915,jan,4.91,28.69,0,33.6,134.04,1.26,12.36
1,BH,4,37.40985,-119.96458,511.4294422,1915,jul,82.66,116.44,0,199.1,0,12.96,34.65
1,BH,4,37.40985,-119.96458,511.4294422,1915,jun,90.21,92.99,0,183.2,0,10.17,30.73
1,BH,4,37.40985,-119.96458,511.4294422,1915,mar,25.43,59.07,0,84.5,39.61,4.66,18.11
1,BH,4,37.40985,-119.96458,511.4294422,1915,may,140.46,11.74,0,152.2,88.11,7.18,20.29
1,BH,4,37.40985,-119.96458,511.4294422,1915,nov,2.05,44.25,0,46.3,17.63,2.99,18.05
1,BH,4,37.40985,-119.96458,511.4294422,1915,oct,3.94,84.66,0,88.6,0,5.49,27.48
1,BH,4,37.40985,-119.96458,511.4294422,1915,sep,17.08,111.32,0,128.4,0,10.2,29.55
1,BH,4,37.40985,-119.96458,511.4294422,1916,apr,48.32,72.48,0,120.8,11.72,5.26,22.26
1,BH,4,37.40985,-119.96458,511.4294422,1916,aug,62.37,109.93,0,172.3,3.74,13.17,32.25
1,BH,4,37.40985,-119.96458,511.4294422,1916,dec,3.09,27.11,0,30.2,127.34,-1.14,11.56
1,BH,4,37.40985,-119.96458,511.4294422,1916,feb,8.9,41.2,0,50.1,86.35,4.14,16.87
1,BH,4,37.40985,-119.96458,511.4294422,1916,jan,6.85,24.45,79.48,31.3,313.67,-0.19,9.21
